Variable_Code,Description
YLAT,"Latitude of watershed in decimal degrees (cols. 1-8): The latitude of the field or watershed (YLAT) is used to estimate day length. It must be supplied by the user. Units are degrees. Latitudes in the Southern Hemisphere are in negative degrees and positive in the Northern Hemisphere. (Range: -90 to 90)."
XLOG,"Longitude of watershed in decimal degrees (cols. 9-16): (Range: -180 to 180)."
ELEV,"Average watershed elevation in meters (cols. 17-24): The average watershed elevation should be input if the Penman or the Penma-Monteith approach is used to estimate potential evapotranspiration. Units are meters. (Range: -200 to 8000)."
APM,"Peak runoff rate – rainfall energy adjustment factor (cols. 25-32): The peak runoff-rate-rainfall energy adjustment factor provides a means for fine tuning the energy factor used in estimating water erosion. Normally, an APM value of 1 gives satisfactory results. Set APM to 0 if unknown. (Range: 0 to 1)."
CO2X,"Atmospheric CO2 Concentration in ppm (cols. 33-40): A non-zero value overrides the CO2 input in EPICCONT.DAT. (Range: 0 to 1000)."
CNO3X,"Concentration of NO3 in irrigation water in ppm (cols.41-48): A non-zero value overrides the CQN input in the EPICCONT.DAT. (Range: 0 to 1000)."
RFNX,"Average concentration of Nitrogen in rainfall in ppm (cols. 49-56): A non-zero value overrides the RFN0 input in the EPICCONT.DAT. (Range: 0.5-1.5)."
X1,"Dummy (cols. 57-64)"
X2,"Dummy (cols. 65-72)"
SNO0,"Water content of snow present on the ground at start of simulation in millimeters (cols. 73-80)."
AZM,"Azimuth orientation of land slope (degrees clockwise from north) (cols. 81-88): Used only if equivalent latitude is computed based on azimuth orientation of land slope (IAZM in EPICCONT.DAT greater than zero). (Range: 0 to 360)."
WSA,"Field, farm or watershed area in hectares (cols. 1-8): Size of the area to be simulated. A value for WSA is required and must be provided."
CHL,"Mainstream channel length in kilometers (cols. 9-16): Distance from outlet to most distant point on field, farm, or watershed. Often in small areas there is no defined channel. In such cases, the length is measured along a concentrated flow path, or it can simply be estimated from the length-width ratio of the watershed. For areas ≤ 20 ha, the channel length measurement is not critical. In such cases where channel data is not available, CHL can be set to 0 and allow the model to estimate it. If channel data is not available, enter 0 (TR55 file must be present as input file)."
CHS,"Mainstream channel slope (cols. 17-24): The average channel slope is computed by dividing the difference in elevation between the field, farm, or watershed outlet and the most distant point by CHL. For small areas this measurement is not critical because CHL and CHS are only used in estimating the watershed time of concentration. The dominant portion of the time of concentration is involved with overland rather than channel flow in small watersheds. Slope is expressed as units of drop per unit of distance (m m-1). If unknown, enter 0 (upland slope steepness (UPS) in site file must be provided)."
CHD,"Channel depth (cols. 25-32): Depth of the channel in meters. If unknown, enter 0 (TR55 file must be present as input file)."
CHN,"Manning’s N for channel (cols. 33-40): If the channel conducting runoff to the edge of the field is winding and/or contains obstructions, water flow rates will be reduced, and sediment will have an opportunity to settle. The channel roughness factor is referred to as the Manning's “n” value. Table 4 contains suggested values of Manning’s “n” for various condition channel flow (Chow, 1959). Chow has a very extensive list of Manning’s roughness coefficients. These values represent only a small portion of those listed in his book. If unknown, enter 0 (the default value of 0.05 will be assigned to CHN)."
SN,"Manning’s N for upland (surface) (cols. 41-48): The surface roughness factor is Manning’s “n” values. Table 5 contains suggested values and possible ranges of Manning’s “n” for various condition overland flow (Engman, 1983). If unknown, enter 0 (the default value of 0.15 will be assigned to SN)."
UPSL,"Average Upland Slope Length in meters (cols. 49-56): This value must be entered. The watershed slope length can be estimated by field measurement as described by Wischmeier and Smith (1978) or from topographic maps using the Contour-Extreme Point Method (R. J. Williams & Berndt, 1977). This is the distance that sheet flow is the dominant surface runoff flow process. Slope length should be measured to the point that flow begins to concentrate. This length is easily observable after a heavy rain on a fallow field when the rills are well developed. In this situation, the slope length is the distance from the subarea divide to the origin of the rill. This value can also be determined from topographic maps. Terraces divide the slope of the rill into segments equal to the horizontal terrace interval. With terracing, the slope length is the terrace interval. For broad base terraces, the horizontal terrace interval is the distance from the center of the ridge to the center of the channel for the terrace below. The horizontal terrace interval for steep backslope terraces is the distance from the point where cultivation begins at the base of the ridge to the base of the front slope of the terrace below. Slope length is a parameter that is commonly overestimated. As a rule of thumb, 90 meters (300 ft) is considered to be a very long slope length."
UPS,"Average Upland Slope (cols. 57-64): Slope is in m m-1. Must be entered. The average watershed slope can be estimated from field measurement or by using the Grid-Contour Method (R. J. Williams & Berndt, 1977)."
PEC,"Erosion Control Practice Factor (cols. 65-72): The erosion-control-practice factor ranges from about 0.1 to 0.9 depending upon the effectiveness of the conservation practice. A non-zero value overwrites the PEC0 set in the EPICCONT.DAT file. Default = 1.0 for non-contoured fields. PEC can be set to 0.0 to eliminate water erosion entirely. At the other extreme, (PEC=10.) erosion rates are increased 10 times to improve long-term simulation efficiency. This feature is a big, time saver in estimating water erosion effects on soil properties over periods of up to 1000 years. Obviously, the 1000-year period can be approximated with a 100-year simulation using PEC=10. Table 6 provides P values and slope length limits for contouring.(Range: 0 to 10)."
DTG,"Time Interval for Gas Diffusion Equations (cols. 73-80: This value is used when the Izaurralde denitrification approach is selected in EPICCONT.DAT (variable IDN > 2). For more information on the Izaurralde denitrification approach see Izaurralde et al. (2017)."
IRR,"Irrigation Code (cols. 1-4): The irrigation code is used to specify whether irrigation is used and the type of irrigation. It is composed of two digits: the first one (N in the example below) defines the irrigation mode, the second one defines the irrigation type.N = 0 flexible (variable) application. Applies the minimum of volume input, soil water field capacity (FC-SW) and maximum single irrigation application(ARMX). When used with the manual irrigation option, irrigation is applied on the date specified in the operation schedule in a volume equal to the minimum of the specified volume, the maximum single application volume, or the volume required to fill the root zone to field capacity (calculated as (FC-SW)/ (1-efficiency EFI)). When used with the automatic option, irrigation is applied based on the irrigation trigger (BIR) and according to the minimum (ARMN) and maximum (ARMX) single irrigation application rate as well as the maximum annual irrigation amount(VIMX) and the irrigation interval (IRI) with the volume applied that will not exceed the volume required to fill the root zone to field capacity.N = 1 rigid (fixed) application. Applies input amount or ARMX. If the manual irrigation is selected, irrigation is applied according to the amounts and dates specified in the operation schedule. If the automatic irrigation option is selected, the amount applied per irrigation is equal to the maximum single application volume (ARMX) and it is applied when the irrigation trigger (BIR) is reached. In all cases, the EFI is removed through runoff prior to infiltration into the soil. Irrigation types available in EPIC are: N0 = for dryland areas N1 = for sprinkler irrigation N2 = for furrow/flood irrigation N3 = for fertigation (irrigation with fertilizer added) * N4 = for lagoon (irrigation from a lagoon) N5 = for drip irrigation For example, a rigid drip irrigation is coded as 15. A flexible sprinkler irrigation is coded as 01. In all cases, the N before the code for irrigation type indicates the irrigation mode. If furrow/flood irrigation is specified, water induced erosion is calculated. If fertigation is specified, IDF0 identifies the type of fertilizer (fertilizer ID from  table) and FNP identifies the amount of fertilizer for each irrigation. If lagoon is specified, IDF0 is used to identify the organic fertilizer while FNP represents the manure input to lagoon in kg/cow/day. * Fertigation works only when automatic irrigation and automatic nitrogen fertilization are selected. See BIR (line 4 of the EPIC control file) and BFT0 (line 5 of the EPIC control file). A way to manually simulate fertigation is to simulate irrigation and fertilization on the same day using the irrigation volume and amount of fertilizer added with the fertigation or using the automatic irrigation and setting the amount of N in irrigation water (see variables CNO30 and CNO3X)."
IRI,"Minimum Application Interval for Automatic Irrigatio (cols. 5-8): This sets the number of days between automatic irrigation events. Irrigation will not occur until the minimum number of days has been met regardless of the BIR has already been met. Because IRI will also affect manual irrigation, set IRI = 0 if automatic irrigation is not used (IRR = 0).(Range: 0 to 365)."
IFA,"Minimum Fertilizer Application Interval for Auto Option (cols. 9-12): This sets the number of days between fertilization events and fertilization will not occur until the minimum number of days has been met. Because IFA will also affect manual fertilization, set IFA = 0 if manual fertilization is used (BFT0 = 0)./(Range: 0 to 365)."
IFD,"Furrow Dike Code (cols. 13-16): Furrow dikes (or tied ridges) are small dams constructed, usually by tillage equipment, in the furrows. They are designed to impede runoff and promote infiltration of rainfall and/or sprinkler irrigation. EPIC simulates the construction, function, and destruction of furrow dikes. The furrow dike code IFD is used to determine whether dikes are simulated. Allowed values: 0 Furrow dike system not simulated 1 Furrow dike system simulated."
IDR0,"Drainage Code (cols. 17-20) Artificial drainage systems (tiles, perforated pipes, open ditch drains, etc.) are often installed to remove excess water from fields. Allowed values:0 No drainage system >0 The drainage system is simulated. Enter depth to drainage system in mm (Range: 0 to 2500)."
IDF0,"Commercial Nitrogen Fertilizer Used for Automatic Application (cols. 21-24): Enter the ID number of the fertilizer from lists provided in the (FERT___.DAT). If none is entered the model defaults to the fertilizer ID 21 which should be Elemental N in the fertilizer table. It is wise to set this number even if there are no current plans to use this function so that the selected fertilizer number matches the correct number in the fertilizer list which is being used."
MNU,"Auto Manure Application Without Trigger (cols. 25-28)A value greater than zero allows the application of manure (if the minimum interval between fertilization is met).(Range: 0 to 365)."
IMW,"Minimum Interval between auto mowing (cols. 29-32)This refers to the minimum length of time (days) set between mowing when the Auto Mow function is used. The crop will be mowed at this interval given the crop height is greater than the cutting height set on the mower used in the operation. For the IMW to take effect, an automatic mower must be included in the operation schedule. (Range: 0 to 365)."
IDFP,"Commercial Phosphorus Fertilizer Used for Automatic Application (cols. 33-36): Enter the ID number of the fertilizer from lists provided in the (FERT___.DAT). If none is entered model defaults to fertilizer ID 22 which should be Elemental P in the fertilizer table. It is wise to set this number even if there are no current plans to use this function so that the selected fertilizer number matches the correct number in the fertilizer list which is being used."
SOLS,"Soil series name."
SOLO,"Soil order: This information can be used to drive the estimation of soil carbon losses if soil horizon is B or C, and if SOLO is one of the following: • Alfisols, • Mollisols, • Ultisols."
SALB,"Soil albedo (cols. 1-8): Ratio of the amount of solar radiation reflected by the soil to the amount incident upon it, often expressed as a fraction. The value for albedo should be reported when the soil is at or near field capacity.(Range: 0 to 1)."
HSG,"Soil hydrologic group (cols. 9-16): The U.S. Natural Resource Conservation Service (NRCS) classifies soils into four hydrologic groups based on infiltration characteristics of the soils. NRCS Soil Survey Staff (1996) defines a hydrologic group as a group of soils having similar runoff potential under similar storm and cover conditions. Soil properties that influence runoff potential are those that impact the minimum rate of infiltration for a bare soil after prolonged wetting and when not frozen. These properties are depth to seasonally high-water table, saturated hydraulic conductivity, and depth to a very slowly permeable layer. The definitions for the different classes are: A Soils having high infiltration rates when thoroughly wetted, consisting chiefly of sand or gravel that are deep and well to excessively drained. These soils have high rate of water transmission (low runoff potential), B Soils having moderate infiltration rates when thoroughly wetted, chiefly moderately deep to deep, moderately well to well drained, with moderately fine to moderately coarse textures. These soils have a moderate rate of water transmission., C Soils having slow infiltration rates when thoroughly wetted, chiefly with a layer that impedes the downward movement of water or of moderately fine to fine texture and a slow infiltration rate. These soils have a slow rate of water transmission (high runoff potential)., D Soils having very slow infiltration rates when thoroughly wetted, chiefly clay soils with a high swelling potential; soils with a high permanent water table; soils with a clay pan or clay layer at or near the surface; and shallow soils over nearly impervious materials. These soils have a very slow rate of water transmission.See table 8 below for hydrologic group rating criteria. Accepted values are, 1 for hydrologic group A, 2 for hydrologic group B, 3 for hydrologic group C, 4 for hydrologic group D."
FFC,"Initial soil water content (cols. 17-24): Soil water content at the beginning of the simulation as a fraction of field capacity. Set at zero if unknown. (Range: 0 to 1)"
WTMN,"Minimum depth to water table (cols. 25-32): This is the depth in meters from the soil surface to the water table when the water table is at its highest level. With the depth set at zero, the model automatically sets the depth deep enough to remove any effects (default at 50 m). Fluctuation of water table is simulated as a function of groundwater storage.Set to 0 if unknown.(Range: 0 to 100 meters)."
WTMX,"Maximum depth to water table (cols. 33-40): The depth in meters from the soil surface to the water table when the water table is at its lowest level. Set to 0 if unknown. (Range: 0 to 100 meters)"
WTBL,"Initial water table height (cols. 41-48)This is the depth in meters from the soil surface to the current water level at which the model will begin the simulation. Throughout the simulation the water level will fluctuate up and down between WTMN and WTMX. This depth must be greater than or equal to WTMN and less than or equal to WTMX.Set to 0 if unknown.WTMN, WTMX, and WTBL are very important when the field contains a water table that is near the surface. Default settings assume the water table is deep enough not to affect plant growth; however, if the water table is within several feet of the surface, it can provide an extra supply of water that ordinarily would not be accounted for in the model.(Range: 0 to 100 meters)."
GWST,"Groundwater storage (cols. 49-56): The amount of groundwater storage in millimeters available at the beginning of the simulation.Set to 0 if unknown.(Range: 0 to 200 mm)."
GWMX,"Maximum groundwater storage (cols. 57-64): The maximum amount of groundwater storage available in millimeters. Set to 0 if unknown. (Range: 10 to 500 mm)"
RFT0,"Groundwater residence time (cols. 65-72): The length of time water spends in the groundwater portion of the hydrologic cycle in days. Set to zero if unknown. (Range: 1 to 365 days)"
RFPK,"Ratio between return flow and return flow + deep percolation (cols. 73-80): Set to 0 if unknown. (Range: 0.01 to 0.99)"
TSLA,"Number of soil layers after splitting (cols. 1-8): It sets the number of soil layers created by the model when splitting the original soil layers. No splitting occurs if TSLA is set to zero. (Range: 3 to 15)."
XIDP,"Soil weathering code (cols. 9-16): The soil weathering code is used to provide information for estimating the phosphorus sorption ratio. If no weathering information is available or if the soil contains CaCO3, XIDP is left at 0.Accepted values are: 0 for calcareous and non-calcareous soils without weathering information, 1 for non CaCO3 slightly weathered, 2 for non CaCO3 moderately weathered, 3 for non CaCO3 highly weathered, 4 Input Phosphorus sorption ratio (PSP) or active + stable mineral P(kg/ha)."
RTN0,"Number of years of cultivation when simulation begins (cols. 17-24): This parameter affects the partitioning of nitrogen and carbon into the passive and slow humus pools. The number of years of cultivation before the simulation starts is used to estimate the fraction of the organic N pool that is mineralizable. Mineralization is more rapid from soil recently in sod. Also, increasing the number of years the field has been in cultivation increases the amount of C and N in the passive pool. This means it will take longer for the carbon and nitrogen to become available.(Range: 0 to 300 years)"
XIDK,"Soil grouping (cols. 25-32): Accepted values are: 1 = Kaolinitic soil group, 2 = Mixed soil group, 3 = Smectitic soil group."
ZQT,"Minimum thickness of maximum layer in meters (cols. 33-40): The model splits layers with thickness greater than ZQT. This splitting scheme produces thinner layers near the soil surface throughout the simulation period. Since most activity (tillage, root growth, microbial activity, rainfall/runoff interaction, etc.) occurs relatively near the soil surface, concentrating computational effort in that zone by using thin layers is very desirable. As soil layers are eroded and lost from the system, layer splitting continues until the number of layers equals TSLA. When the thickest soil layer reaches ZQT, no further splitting occurs. Instead, the number of soil layers is reduced until only two layers remain. At that time, the simulation stops. The simulation will also stop if the user-specified, minimum soil-profile thickness (ZF) is reached. If ZQT and ZF are not inputted, the model sets both of them to 0.1 m. Refer to TSLA, ZF and ZTK for further information.Set to 0 if unknown.(Range: 0.01 to 0.25 meters)"
ZF,"Minimum profile thickness (cols. 41-48): This is the minimum thickness (in meters) of the profile that is allowed. If the profile is eroded to this thickness, the simulation will stop. If ZF is not inputted, the model sets it to 0.1 m. Refer to TSLA, ZQT, and ZTK for further information.(Range: 0.05 to 0.25 meters)"
ZTK,"Minimum layer thickness for beginning simulation layer (cols. 49-56): The model splits the first layer with thickness greater than ZTK (in meters); if none exists the thickest layer is split. This is only done once to make certain there are no extremely thick layers even at lower depths. Refer to TSLA, ZQT and ZF for further information.(Range: 0.05 to 0.25 mm)"
FBM,"Fraction of organic carbon in biomass pool (cols. 57-64): Set to 0 if unknown and the model will assign the default value of 0.04. (Range: 0.03 to 0.05)."
FHP,"Fraction of carbon in passive pool (cols. 65-72): Set to 0 if unknown and the model will calculate its value as a function of RTN0. (Range: 0.3 to 0.7)."
XCC,"NOT USER INPUT (cols. 73-80): This is a code written automatically by the model when a .SOT file is created. XCC is equal to 0 for regular soil files and equal to 1 for model-generated SOT files."
Z,"Depth to bottom of layer: Depth from the soil surface to the bottom of the layer (meters) (Range: 0.01 to 10.0)."
BD,"Moist bulk density (Mg m-3): The soil bulk density represents the ratio of the mass of solid particles to the total volume of the soil. Usually, BD values fall between 1.1 and 1.9 Mg m-3.(Range: 0.5 to 2.5)"
U,"Soil water content at wilting point (fraction): The wilting point is the soil water content at 1500 KPa or -15 Bars. The value of U must be lower than the value of FC. Set to 0 if unknown.(Range: 0.01 to 0.5)"
FC,"Soil water content at field capacity (fraction): The field capacity is the soil water content at 33 KPa or -0.33 bar.The value of FC must be greater than U and cannot be greater than 1. (Range: 0.1 to 0.9)."
SAN,"Sand content (%): Fraction of soil particles which have a diameter between 2.0 and 0.05 mm. (Range: 1 to 99)."
SIL,"Silt content (%): Fraction of soil particles which have a diameter between 0.05 and 0.002 mm. (Range: 1 to 99)."
WON,"Initial organic nitrogen concentration (g N Mg-1 or ppm): Users may define the concentration of organic nitrogen (dry weight basis) contained in humic substances for all soil layers at the beginning of the simulation. If the user does not specify initial nitrogen concentrations, EPIC will initialize levels of organic nitrogen.Set to 0 if unknown.(Range: 100 to 5000)"
PH,"Soil pH: It is the pH of a solution in equilibrium with the soil. It is determined by means of a glass, quinhydrone, or other suitable electrode or indicator at a specified soil-solution ratio in a specified solution, usually distilled water, 0.01 M CaCl2 or 1 M KCl.(Range: 3 to 9)"
SMB,"Sum of bases (cmol kg-1): The sum of bases (Ca++, K+, etc.) on the cation exchange complex. Set to 0 if unknown.(Range: 0 to 150)."
WOC,"Organic carbon concentration (%): It is the concentration of organic carbon present in the soil.Set to 0 if unknown.(Range: 0.1 to 10)"
CAC,"Calcium carbonate content (%): It is the carbon carbonate content of the soil. A compound, CaCO3 is found in nature as calcite and argonite and in plant ashes, bones, and shells. CaCO3 is found in calcareous soils. It is also used as a liming agent to increase the pH of a soil. Set to 0 if unknown.(Range: 0 to 99)"
CEC,"Cation exchange capacity (cmol kg-1): The cation exchange capacity of a soil is the quantity of positive ions necessary to neutralize the negative charge of a unit quantity of soil, under a given set of conditions. Set to 0 if unknown.(Range: 0 to 150)"
ROK,"Coarse fragment content (%): The percent (in volume) of the sample which has a particle diameter > 2 mm, i.e. the percent of the sample which does not pass through a 2 mm sieve. Set to 0 if unknown (Range: 0 to 99)."
CNDS,"Initial soluble nitrogen concentration (g Mg-1): Users may define the concentration of nitrate (dry weight basis) for all soil layers at the beginning of the simulation. Set to 0 if unknown. (Range: 0.01 to 500)."
PKRZ,"Initial soluble phosphorus concentration (g Mg-1): Users may define the concentration of solution P (dry weight basis) for all soil layers at the beginning of the simulation. Set to 0 if unknown (Range: 0 to 20)."
RSD,"Crop residue (Mg ha-1): The amount of biomass in each soil layer at the beginning of the simulation. Set to 0 if unknown(Range: 0 to 20)."
BDD,"Dry bulk density (Mg m-3): Density of the soil after oven drying. Set to 0 if unknown (BD value will be assigned to BDD).(Range: 0 to 2.0)."
PSP,"Phosphorus sorption ratio (fraction): The fraction of phosphorus adsorbed on soil particle surfaces.Set to 0 if unknown. The model will estimate PSP according to the soil weathering code (XIDP) and using CAC, PKRZ, BSA, PH, and/or CLA depending on XIDP (Range: 0 to 0.9)."
SATC,"Saturated conductivity (mm h-1): Rate at which water passes through the soil layer, when saturated. The saturated hydraulic conductivity relates soil water flow rate (flux density) to the hydraulic gradient and is a measure of the ease of water movement through the soil. The saturated conductivity is the reciprocal of the resistance of the soil matrix to water flow.Set to 0 if unknown.(Range: 0.00001 to 100)."
HCL,"Lateral hydraulic conductivity (mm h-1): Set to 0 if unknown(Range: 0.00001 to 10)."
WP,"Initial organic phosphorus concentration (g Mg-1): Users may define the concentration of organic phosphorus (dry weight basis) contained in humic substances for all soil layers at the beginning of the simulation. Set to 0 if unknown.(Range: 50 to 1000)."
EXCK,"Exchangeable potassium concentration (g Mg-1): The amount of potassium on the surface of soil particles that can be readily replaced with a salt solution. Set to 0 if unknown(Range: 0 to 200)."
ECND,"Electrical conductivity (mmho cm-1): Conductivity of electricity through water or an extract of soil. Commonly used to estimate the soluble salt content in solution. For a conversion to commonly used units, 1 mmho cm-1 is equal to 1 dS m-1. Set to 0 if unknown.(Range: 0 to 50)."
STFR,"Fraction of water storage interacting with nitrogen leaching: It is the fraction of soil porosity that interacts with percolating water as nitrogen leaching occurs. Set to 0 if unknown (Range: 0.05 to 1.0)."
ST,"Initial soil water storage (fraction, m/m): Fraction of field capacity initially available at the start of the simulation. Set to 0 if unknown (the value of FC will be used) (Range: 0.001 to 1.0)."
WLS,"Structural litter (kg ha-1): One of the two litter components that contains all the lignin from plant residues and roots. The structural litter component has a fixed C/N ratio. Set to 0 if unknown (Range: 0.0 to 10000)."
WLM,"Metabolic litter (kg ha-1): One of the two litter components made up of readily decomposable and water-soluble organic matter. Set to 0 if unknown (Range: 0.0 to 10000)."
WLSL,"Lignin content of structural litter (kg ha-1): Lignin is a complex polymer that binds to cellulose fibers and gives strength to the cell walls of plants. It is very resistant to decomposition. Set to 0 if unknown. (Range: 0.0 to 10000)."
WLSC,"Carbon content of structural litter (kg ha-1): Carbon makes up almost half of the elemental composition of the dry matter in plants and is a common constituent of all organic matter. It is also present in the atmosphere in the form of CO2.Set to 0 if unknown.(Range: 0.0 to 10000)."
WLMC,"Carbon content of metabolic litter (kg ha-1): See WLSC and WLM for more information. Set to 0 if unknown (Range: 0.0 to 10000)."
WLSLC,"Carbon content of lignin of structural litter (kg ha-1): See WLSC, WLSL, and WLS for more information. Set to 0 if unknown. (Range: 0.0 to 10000)."
WLSLNC,"Nitrogen content of lignin of structural litter (kg ha-1): The amount of nitrogen found in the lignin portion of the structural litter. See WLSL and WLS for more information. Set to 0 if unknown (Range: 0.0 to 10000)."
WBMC,"Carbon content of biomass organic pool (kg ha-1): The carbon content of the fresh soil organic matter.Set to 0 if unknown (Range: 0.0 to 10000)."
WHSC,"Carbon content of slow humus pool (kg ha-1): Slow humus is a conceptual component of soil organic matter that decomposes at rates intermediate between the microbial and passive humus components. Set to 0 if unknown (Range: 0.0 to 10000)."
WHPC,"Carbon content of passive humus pool (kg ha-1): Passive humus is a conceptual component composed of old or stable soil organic matter. Set to 0 if unknown (Range: 0.0 to 10000)."
WLSN,"Nitrogen content of structural litter (kg ha-1): See WLS for more information.Set to 0 if unknown (Range: 0.0 to 10000)."
WLMN,"Nitrogen content of metabolic litter (kg ha-1): See WLM for more information.Set to 0 if unknown (Range: 0.0 to 10000)."
WBMN,"Nitrogen content of biomass pool (kg ha-1): The nitrogen content of the fresh soil organic matter.Set to 0 if unknown (Range: 0.0 to 10000)."
WHSN,"Carbon content of slow humus pool (kg ha-1): See WHSC for more information.Set to 0 if unknown (Range: 0.0 to 10000)."
WHPN,"Carbon content of passive humus pool (kg ha-1): See WHPC for more information.Set to 0 if unknown (Range: 0.0 to 10000)."
FE26,"Iron content (%): It can be used in the estimation of carbon losses if the soil order (SOLO) is Ultisols and if soil horizon (ASHZ) is B or C. Set to 0 if unknown (Range: 0.1 to 50.0)."
SULF,"Sulfur content (%): Set to 0 if unknown (Range: 0.01 to 0.06)."
ASHZ,"Soil horizon: The format for this variable is a string with 8 characters (e.g., •••••••A - seven spaces and one letter). Accepted values are • A, • B, • C. This information drives the estimation of soil carbon losses. . If ASHZ is equal to B or C, the approach used in the estimation is driven by the soil order (SOLO).Set to A if unknown."
CGO2,"O2 concentration in gas phase (g m-3of soil air): This information is used when the new O2 ratio method is selected for the oxygen-depth function (IOX = 2 in the EPIC control file) or when the Izaurralde denitrification approach is selected (IDN > 2 in the EPIC control file).Set to 0 if unknown.(Range: 110 to 275) for more information see (R. C. Izaurralde et al., 2017)"
CGCO2,"CO2 concentration in gas phase (g m-3of soil air): This information is used when the Izaurralde denitrification approach is selected (IDN > 2 in the EPIC control file).Set to 0 if unknown.(Range: 0.2 to 1.2) for more information see (R. C. Izaurralde et al., 2017)"
CGN2O,"N2O concentration in gas phase (g m-3 of soil air): This information is used when the Izaurralde denitrification approach is selected. (IDN > 2 in the EPIC control file).Set to 0 if unknown.(Range: 0.004 to 0.01). for more information see (R. C. Izaurralde et al., 2017)"
LUN,"Land Use Number (cols. 1-4): This is the land use number from the NRCS Land Use Hydrology soil group table below (table 10). Refer to the column labeled Land Use Number in the table below. This number along with the hydrologic soil group is used to determine the curve number.(Range: 1 to 35)."
IAUI,"Implement for auto irrigation (cols. 5-8): Select the implement used for automatic irrigation. The number refers to the implement/tillage table TILL___.DAT. If set to zero, the model will assign the default value of 500 and implement with ID number 500 in the TILL___.DAT will be used to apply automatic irrigation (center pivot by default)."
OPV1,"Different meanings depending on the type of operation set with JX(4) (cols. 30-37): Potential heat units – PHU (°C). FOR PLANTING OPERATION ONLY. Total number of heat units (or growing degree days) needed to bring the plant from emergence to physiological maturity. Used in determining the growth curve. PHU is calculated using the base temperature of the crop.Application volume for irrigation (mm). FOR IRRIGATION OPERATION ONLY. It is the volume of water applied with the irrigation operation. Fertilizer application rate (kg ha-1) FOR FERTILIZATION ONLY. Amount of fertilizer applied with the fertilization. Set to zero for variable application rate (application rate will be estimated using PARM(28)).Pesticide application rate (g ha-1) FOR PESTICIDE APPLICATION ONLY. It is the amount of pesticide applied with the operation.Stocking rate for grazing (ha head-1) FOR START GRAZING ONLY. It is the number of hectares available to each grazer."
OPV2,"Different meanings depending on the type of operation set with JX(4) (cols. 38-45): Land use number – LUN. The land use number set previously will be overwritten if a positive value is provided here. Refer to table 10 for allowed values of land use number.Curve number – CN. A value of the SCS runoff curve number can be directly assigned if a negative value is provided here. Use the SCS hydrologic soil group-curve number table for reference.Pest control factor. FOR PESTICIDE APPLICATION ONLY. This is the fraction of pest population controlled by the pesticide application. It only applies to insects and diseases (not weeds). If the factor is set to 0.99, 99% of the pest will be killed by the pesticide."
OPV3,"Automatic irrigation trigger (cols. 46-53): If OPV3 is ≠ 0, the automatic irrigation trigger set previously will be changed. Several options are offered:OPV3 = 0.0 The previous trigger remains active.OPV3 > 0 and < 1.0 Automatic irrigation based on plant water stress factor. The dimension (1 – BIR) equals the fraction of plant water stress allowed. Low values allow higher plant water stress before applying automatic irrigation.OPV3 = 1.0 Does not allow water stress. According to other rules set in the model, irrigation water is applied with the intent to eliminate water stress.OPV3 < 0.0 Plant available water deficit in root zone. Number is in mm and must be negative.OPV3 > 1.0 Soil water tension in top 200 mm of the soil profile. Absolute number is in kilopascals.OPV3 = -999.0 Sets water deficit high enough that only manual irrigations will occur. Effectively turns auto irrigation off."
OPV4,"Runoff / irrigation ratio (vol./vol.) (cols. 54-61): It is the ratio between runoff volume and irrigation volume. Setting OPV4 greater than 0 will overwrite the value assigned to EFI in the EPIC control file (EPICCONT.DAT). The irrigation runoff ratio specifies the fraction of each irrigation application that is lost to runoff. Soluble nutrient loss through runoff applies. Changes in soil slope do not affect this amount dynamically."
OPV5,"Plant population (cols. 62-69): FOR PLANTING OPERATION ONLY. Unit is plants m-2 or plants ha-1if crop is a tree (in EPIC plant list file IHC = 7, 8, or 10). EPIC does not simulate tillering. In crops such as wheat and sugarcane which produce higher numbers of yielding tillers compared to the number of seeds or shoots planted, the plant population must be estimated based on the final yield producing tiller number."
OPV6,"Max annual nitrogen fertilizer applied to a crop (kg ha-1) (cols. 70-77): FOR PLANTING OPERATION ONLY. If OPV6 is set > 0, its value replaces the value of FMX set in the EPICCONT.DAT. FMX set a limit on the amount of fertilizer that could be applied on an annual basis regardless of the number of crops grown within a year. This is especially important when automatically applying fertilizer."
